Species,Average_Length_m,Maximum_Length_m,Average_Weight_kg,Maximum_Weight_kg,Lifespan_years,Swimming_Speed_kmh,Bite_Force_N,Gestation_Period_months,Number_of_Teeth,Diet_kg_per_week
Great White Shark,4.95,5.84,1120.68,2296.14,74,55.91,17429.86,10,289,219.37
Sand Tiger Shark,3.12,3.11,151.21,275.01,15,23.2,2837.09,9,192,54.4
Great White Shark,4.22,6.43,1189.21,2177.5,71,52.3,17245.82,11,282,193.12
Sand Tiger Shark,2.82,3.06,155.2,326.7,14,22.0,2864.89,9,209,49.2
Great White Shark,4.5,6.07,1108.39,2119.68,75,59.04,19457.38,13,300,192.69
Sand Tiger Shark,2.96,3.15,152.61,274.72,13,22.58,3133.84,8,215,50.52
Great White Shark,4.36,6.33,1015.94,2207.39,63,57.37,18897.26,10,300,215.48
Sand Tiger Shark,3.21,3.41,152.38,286.53,14,22.38,3187.01,8,184,48.89
Great White Shark,4.18,6.41,1071.89,2265.43,72,56.78,17119.74,12,330,186.03
Sand Tiger Shark,3.01,3.47,175.31,306.12,16,25.34,2978.32,8,216,48.7
Great White Shark,4.31,6.04,1023.5,2362.46,67,53.44,17992.69,10,291,191.22
Sand Tiger Shark,3.11,3.33,158.07,294.16,14,25.86,3038.79,8,195,45.81
Great White Shark,4.06,6.87,1148.33,2394.09,67,57.4,18679.09,12,299,183.09
Sand Tiger Shark,3.28,3.45,151.2,279.78,16,25.87,2911.15,9,187,47.59
Great White Shark,4.31,6.23,1045.57,2021.71,71,57.58,19055.7,12,319,180.31
Sand Tiger Shark,2.94,3.47,165.95,271.18,13,23.73,3102.82,8,194,46.55
Great White Shark,4.09,5.93,1169.87,2236.02,65,60.43,16915.21,13,274,218.34
Sand Tiger Shark,3.26,3.08,158.88,275.93,14,23.84,2772.48,9,190,50.92
Great White Shark,4.88,6.1,1052.84,2220.75,63,56.7,19668.75,12,293,194.27
Sand Tiger Shark,3.0,3.28,167.41,280.06,16,23.26,2822.33,9,217,49.3
Great White Shark,4.57,5.98,1003.16,2304.95,76,57.78,19714.74,11,288,206.78
Sand Tiger Shark,3.26,3.48,170.29,303.95,15,25.53,2833.6,9,207,45.66
Great White Shark,4.13,6.96,1048.24,2279.59,76,59.25,18553.15,11,290,180.23
Sand Tiger Shark,3.17,3.03,161.66,272.27,14,26.37,2743.91,8,180,50.36
Great White Shark,4.16,6.6,1176.05,2148.69,76,57.63,18275.96,11,316,203.07
Sand Tiger Shark,3.17,2.93,169.43,309.81,13,22.67,2943.85,8,209,54.06
Great White Shark,4.48,6.2,1163.51,2031.11,68,61.19,17842.01,10,288,195.48
Sand Tiger Shark,2.82,3.0,171.1,296.44,15,23.27,2975.05,8,199,47.51
Great White Shark,4.62,6.29,1112.97,2347.4,67,61.39,17550.57,12,278,208.02
Sand Tiger Shark,2.78,2.91,166.28,276.14,15,24.26,3105.65,8,181,46.54
Great White Shark,4.44,6.81,1144.38,1980.45,67,55.1,17367.22,11,317,204.77
Sand Tiger Shark,3.09,3.1,172.66,328.11,14,25.16,3098.52,8,206,45.29
Great White Shark,4.73,6.31,1159.03,2186.39,73,61.23,19484.2,12,280,213.13
Sand Tiger Shark,2.8,3.15,167.53,295.58,16,22.32,2871.69,9,205,52.33
Great White Shark,4.21,6.67,1074.95,2219.04,75,54.01,17878.02,10,275,193.18
Sand Tiger Shark,2.93,3.11,151.03,270.62,15,24.64,3025.23,8,196,48.61
Great White Shark,4.05,6.85,1034.3,2352.23,64,58.57,16296.91,10,286,195.85
Sand Tiger Shark,3.27,2.91,164.06,289.23,16,26.29,3292.53,8,184,46.16
Great White Shark,4.51,6.07,1126.89,2036.67,72,54.27,17991.34,10,308,201.38
Sand Tiger Shark,2.75,3.45,160.04,314.62,16,22.47,2995.89,9,192,46.69
Great White Shark,4.57,5.86,1179.1,1999.69,76,56.72,19284.71,12,320,193.78
Sand Tiger Shark,2.71,2.95,153.68,273.3,14,26.06,3015.7,9,184,47.23
Great White Shark,4.31,6.04,1078.8,2129.16,63,52.43,16487.51,13,274,188.44
Sand Tiger Shark,2.99,3.25,144.83,325.64,14,23.33,2706.21,9,218,49.56
Great White Shark,4.06,6.04,1069.17,2175.06,71,55.72,19426.02,11,300,186.73
Sand Tiger Shark,3.27,3.31,165.38,320.19,14,24.33,2841.23,8,204,47.8
Great White Shark,4.26,6.48,1075.6,2329.9,75,53.21,16887.99,12,291,182.4
Sand Tiger Shark,2.92,3.21,162.74,303.83,13,25.04,2843.61,9,217,54.16
Great White Shark,4.53,6.41,1126.99,2234.9,68,52.48,19232.99,11,300,211.96
Sand Tiger Shark,2.91,3.49,169.88,278.78,14,21.68,2787.9,9,194,45.83
Great White Shark,4.79,6.19,1178.4,2397.1,65,58.18,19490.9,10,326,186.86
Sand Tiger Shark,2.9,3.37,151.58,314.97,16,24.14,3251.41,9,215,47.87
Great White Shark,4.12,5.77,1157.59,1997.87,69,52.95,19749.58,13,285,209.79
Sand Tiger Shark,2.9,3.0,169.38,324.27,16,25.01,2842.22,8,198,52.59
Great White Shark,4.08,6.95,1041.55,2363.9,75,60.15,17939.99,11,312,201.43
Sand Tiger Shark,2.91,3.39,153.21,289.18,14,23.57,2864.82,8,187,54.07
Great White Shark,4.87,6.78,1158.52,2368.97,76,58.55,18604.32,11,307,187.85
Sand Tiger Shark,3.08,3.48,153.07,296.12,16,23.42,2989.71,9,210,47.05
Great White Shark,4.23,6.42,1035.82,2140.29,70,59.06,18367.57,11,328,214.88
Sand Tiger Shark,3.05,2.96,174.52,270.66,15,24.19,2820.68,8,220,50.44
Great White Shark,4.32,5.76,1054.45,2255.64,64,51.68,17595.39,13,325,204.88
Sand Tiger Shark,2.73,3.04,151.55,305.67,13,25.46,2955.36,9,187,53.7
Great White Shark,4.1,6.38,1194.55,2096.88,67,55.68,18418.4,12,321,194.48
Sand Tiger Shark,2.74,3.11,153.3,297.94,16,23.25,2750.94,8,197,45.7
Great White Shark,4.05,6.53,1119.89,2330.52,76,54.25,18027.96,13,299,190.45
Sand Tiger Shark,3.05,2.89,163.12,283.46,15,24.31,3098.63,9,212,48.53
Great White Shark,4.52,7.03,1073.78,2419.53,66,60.62,17175.14,13,272,190.5
Sand Tiger Shark,2.87,3.33,166.85,309.26,13,23.41,3100.67,8,206,52.2
Great White Shark,4.3,6.88,1054.05,2262.91,64,56.05,17819.1,13,294,189.01
Sand Tiger Shark,2.94,3.5,147.91,273.18,16,26.21,3119.98,9,220,54.41
Great White Shark,4.07,6.58,1065.91,2006.2,65,59.24,17298.59,10,320,213.99
Sand Tiger Shark,3.23,3.32,147.98,275.49,15,25.54,3232.21,8,182,52.97
Great White Shark,4.47,6.86,1116.28,2255.03,68,61.08,16254.71,12,329,217.85
Sand Tiger Shark,3.23,2.96,174.28,295.69,14,22.81,3142.39,9,181,49.67
Great White Shark,4.28,6.76,1168.74,2147.97,68,61.39,18820.48,13,290,184.22
Sand Tiger Shark,2.83,3.27,148.01,320.8,13,26.24,2752.62,9,202,45.53
Great White Shark,4.18,6.79,1145.36,2016.87,74,54.25,17183.77,12,278,203.54
Sand Tiger Shark,3.03,3.02,150.0,307.26,16,24.89,3145.81,9,198,53.36
Great White Shark,4.19,6.67,1190.86,2311.36,75,50.76,16982.37,10,280,203.4
Sand Tiger Shark,2.99,3.13,156.01,321.43,15,22.91,3171.01,8,200,48.99
Great White Shark,4.35,6.82,1014.27,2295.69,75,50.99,18665.58,11,324,217.16
Sand Tiger Shark,2.79,2.95,168.03,329.86,14,26.01,3196.99,8,219,51.44
Great White Shark,4.28,6.88,1108.35,2145.51,71,58.47,16517.25,11,290,204.49
Sand Tiger Shark,2.8,2.96,175.41,307.15,15,26.04,2778.32,9,180,51.54
Great White Shark,4.53,6.91,1141.28,2182.02,72,59.56,17786.55,12,305,192.13
Sand Tiger Shark,3.07,2.98,171.12,320.72,13,25.04,3105.27,8,182,53.7
Great White Shark,4.1,5.9,1134.56,1994.21,71,51.64,16919.41,13,307,206.93
Sand Tiger Shark,2.88,3.07,145.88,312.8,13,25.14,2894.6,9,193,48.44
Great White Shark,4.18,6.89,1041.04,2007.04,74,50.92,17217.13,12,276,209.44
Sand Tiger Shark,3.07,3.11,161.25,285.23,14,24.85,2913.16,9,200,53.75
Great White Shark,4.75,6.54,1052.45,2225.17,75,53.55,19128.32,12,270,180.39
Sand Tiger Shark,2.84,2.98,144.2,298.47,15,24.51,2980.61,8,215,45.21
Great White Shark,4.93,6.7,1113.93,2108.79,74,58.53,17252.99,13,321,201.0
Sand Tiger Shark,2.88,3.18,154.59,296.22,16,26.02,3021.7,8,188,47.78
Great White Shark,4.37,6.43,1071.96,2014.72,76,60.41,18617.73,12,307,182.01
Sand Tiger Shark,3.06,3.06,175.68,325.27,16,24.95,2710.39,9,180,46.89
Great White Shark,4.61,6.28,1153.99,2392.98,70,53.93,17563.07,12,311,183.2
Sand Tiger Shark,2.76,3.47,174.87,316.68,14,21.68,2876.37,8,209,53.71
Great White Shark,4.84,5.81,1035.96,2335.45,72,52.31,16768.28,11,309,185.52
Sand Tiger Shark,3.2,2.9,158.31,298.47,15,22.57,2714.9,9,189,49.01
Great White Shark,4.59,6.54,1002.17,2264.84,75,56.29,18855.99,10,330,184.46
Sand Tiger Shark,2.72,3.42,171.75,313.38,15,22.39,2794.29,9,182,46.69
Great White Shark,4.06,6.52,1105.97,2356.1,70,51.72,17048.97,12,295,201.36
Sand Tiger Shark,2.71,2.98,152.73,304.19,16,23.81,2771.15,8,207,51.29
Great White Shark,4.95,6.3,1053.18,2028.86,73,53.31,19410.62,11,328,204.99
Sand Tiger Shark,2.83,3.47,163.61,294.25,15,25.56,3073.93,8,204,45.92
Great White Shark,4.83,6.15,1031.75,2001.51,70,59.81,16256.99,10,292,191.56
Sand Tiger Shark,2.82,3.23,146.78,304.61,14,25.34,3167.72,9,211,52.47
Great White Shark,4.58,5.94,1200.11,2092.19,67,55.65,18941.04,13,278,184.91
Sand Tiger Shark,2.92,3.14,148.36,276.21,16,25.98,3181.92,8,198,48.44
Great White Shark,4.47,6.14,1157.79,2266.23,68,59.05,17036.8,12,272,207.2
Sand Tiger Shark,2.76,3.41,171.09,280.15,13,23.93,2877.38,8,207,54.4
Great White Shark,4.73,6.74,990.14,2320.36,70,59.28,17346.19,10,279,190.4
Sand Tiger Shark,2.82,3.07,169.12,304.45,16,25.24,3104.28,8,203,51.44
Great White Shark,4.86,6.71,1152.68,2266.93,66,57.33,19163.02,12,321,208.76
Sand Tiger Shark,2.74,2.97,144.61,288.36,14,25.31,3140.74,9,182,45.69
Great White Shark,4.33,6.81,1022.18,2334.21,68,54.49,18336.87,10,325,194.02
Sand Tiger Shark,2.99,2.99,158.42,278.27,13,25.11,2931.93,9,211,52.76
Great White Shark,4.69,6.23,1027.97,2320.19,74,61.07,16917.11,13,325,207.5
Sand Tiger Shark,2.71,3.35,148.54,276.58,14,24.12,3240.43,8,217,52.65
Great White Shark,4.39,6.71,1043.7,2358.93,69,50.97,19612.08,11,308,205.34
Sand Tiger Shark,3.15,3.11,170.97,309.88,16,23.79,2952.06,8,220,51.97
Great White Shark,4.74,6.51,1207.43,2210.93,70,57.65,16378.0,11,312,188.96
Sand Tiger Shark,3.19,3.02,154.81,283.66,15,25.21,3193.13,8,192,51.74
Great White Shark,4.37,6.23,1047.97,2086.43,66,56.15,18139.36,10,308,210.62
Sand Tiger Shark,2.91,2.93,150.25,278.64,14,22.58,3069.37,8,211,54.68
Great White Shark,4.4,6.01,1156.54,2135.84,73,59.82,16770.17,12,314,218.26
Sand Tiger Shark,3.06,3.1,171.0,319.2,14,24.16,3276.49,9,204,47.78
Great White Shark,4.23,6.29,1185.85,2132.87,77,59.4,18352.83,10,323,212.75
Sand Tiger Shark,2.87,3.18,150.23,317.16,15,22.74,2777.69,8,199,45.08
Great White Shark,4.94,6.16,1183.08,2089.65,67,51.13,18331.76,13,328,208.17
Sand Tiger Shark,2.94,3.4,166.23,311.85,15,24.03,2749.71,8,207,51.05
Great White Shark,4.11,6.13,1060.51,2359.66,73,55.94,17111.71,13,328,180.29
Sand Tiger Shark,3.27,2.96,170.69,319.21,15,25.39,2737.69,9,218,50.52
Great White Shark,4.14,5.99,1164.56,2268.79,66,54.71,18172.17,11,295,195.25
Sand Tiger Shark,2.84,3.21,145.61,325.69,15,24.61,3052.6,9,206,53.11
Great White Shark,4.21,7.0,1033.45,2198.49,69,53.4,19458.54,13,280,215.15
Sand Tiger Shark,3.2,3.23,158.95,294.08,13,26.35,2734.65,8,214,52.33
Great White Shark,4.86,6.96,1194.12,2050.57,63,57.85,19182.63,11,289,216.48
Sand Tiger Shark,2.88,3.18,159.53,279.78,16,22.17,2840.67,8,213,47.17
Great White Shark,4.3,6.45,1013.83,2054.0,74,53.11,17647.55,13,319,205.6
Sand Tiger Shark,3.0,3.35,160.64,320.48,16,24.48,3275.17,9,185,45.8
Great White Shark,4.27,6.39,1163.37,2266.92,72,53.22,18330.69,12,307,188.82
Sand Tiger Shark,2.83,3.49,147.54,293.37,16,21.72,2715.86,8,202,51.61
Great White Shark,4.84,6.61,1002.96,2260.6,71,59.8,16209.1,11,306,207.6
Sand Tiger Shark,2.85,3.15,175.93,325.74,13,26.1,2765.35,8,214,48.95
Great White Shark,4.41,5.91,1021.6,2206.11,66,53.66,19505.1,10,286,201.96
Sand Tiger Shark,3.25,3.43,163.84,317.41,14,24.94,3176.34,9,210,54.84
Great White Shark,4.23,6.27,1166.61,2231.97,73,54.56,16282.81,11,273,210.96
Sand Tiger Shark,3.09,3.02,167.89,321.74,13,22.03,3137.58,9,215,54.83
Great White Shark,4.82,6.93,1034.63,2065.06,66,59.32,18986.08,11,292,200.96
Sand Tiger Shark,3.22,3.05,166.17,302.3,16,23.65,2769.81,9,189,54.39
Great White Shark,4.07,5.86,1159.92,2400.21,72,56.25,18234.12,13,303,203.51
Sand Tiger Shark,3.1,3.39,164.94,292.6,13,21.77,3034.34,8,217,51.76
Great White Shark,4.57,5.98,1204.03,2204.26,76,51.32,19214.53,10,304,181.83
Sand Tiger Shark,2.72,3.33,158.74,313.43,16,23.45,2762.18,9,182,48.69
Great White Shark,4.08,5.76,1146.58,2035.38,73,53.34,19018.2,13,292,218.79
Sand Tiger Shark,2.81,3.09,160.24,275.08,15,21.82,2840.76,9,212,48.98
Great White Shark,4.45,6.15,1028.67,2411.99,71,53.04,17004.89,12,328,187.28
Sand Tiger Shark,3.23,3.46,158.43,279.5,13,22.01,2955.65,9,215,51.03
Great White Shark,4.9,5.89,1153.36,2232.51,67,58.16,17503.53,11,321,208.02
Sand Tiger Shark,2.72,3.51,175.49,301.46,14,24.1,2916.01,8,189,53.93
Great White Shark,4.68,6.03,1038.11,2028.76,65,60.54,18304.54,11,285,214.2
Sand Tiger Shark,2.92,2.98,145.37,271.71,15,23.93,2939.9,8,195,53.92
Great White Shark,4.54,5.77,995.53,2324.12,69,50.72,17193.65,12,271,196.65
Sand Tiger Shark,3.08,2.89,165.64,284.53,16,23.82,3056.62,8,185,48.46
Great White Shark,4.42,6.93,1116.66,2188.91,66,54.47,17308.89,13,307,186.75
Sand Tiger Shark,3.29,3.11,167.33,323.21,15,23.2,2797.73,9,183,52.37
Great White Shark,4.81,6.38,1041.49,2318.88,65,58.53,16945.33,13,280,203.6
Sand Tiger Shark,2.93,3.0,156.72,322.5,15,22.99,2753.72,9,214,52.29
Great White Shark,4.51,6.11,1004.12,2351.04,71,51.48,18619.71,10,301,211.19
Sand Tiger Shark,3.12,3.38,151.29,281.8,15,24.96,2812.61,8,198,50.21
Great White Shark,4.57,7.0,1107.49,2000.02,70,52.34,18340.64,11,283,184.49
Sand Tiger Shark,2.96,3.08,172.16,298.96,14,23.97,3173.52,8,219,48.56
Great White Shark,4.34,6.74,1011.03,2190.65,69,56.37,17360.73,10,306,212.57
Sand Tiger Shark,3.17,3.46,163.71,311.51,13,24.1,2750.33,9,204,49.47
Great White Shark,4.24,6.35,1120.88,2303.75,72,59.2,19421.37,12,313,200.86
Sand Tiger Shark,2.74,2.99,152.07,316.33,13,22.29,3084.99,9,203,53.14
Great White Shark,4.78,5.94,1175.97,2200.53,66,60.52,16826.27,10,318,190.8
Sand Tiger Shark,2.8,3.04,172.08,319.76,16,22.04,3023.26,9,183,50.16
Great White Shark,4.29,6.59,1037.91,2343.45,71,52.38,19697.85,10,273,190.6
Sand Tiger Shark,3.09,3.25,154.09,316.71,16,24.46,3065.58,8,192,52.37
Great White Shark,4.61,6.6,1058.7,2065.95,76,54.4,17711.04,10,276,189.25
Sand Tiger Shark,2.95,2.92,174.19,277.81,15,21.71,2846.16,8,197,50.55
Great White Shark,4.27,6.96,996.2,2260.23,66,60.17,18856.7,13,300,204.0
Sand Tiger Shark,3.08,3.35,148.09,274.19,15,22.78,2962.88,9,213,51.29
Great White Shark,4.85,6.16,1101.77,2196.63,63,51.29,16925.3,11,292,210.67
Sand Tiger Shark,3.04,2.94,148.61,307.04,16,23.75,2730.29,8,213,50.71
Great White Shark,4.77,6.93,1024.62,2389.64,67,51.87,16995.01,12,292,215.3
Sand Tiger Shark,2.77,2.94,165.48,320.05,13,25.45,3080.84,9,203,45.42
Great White Shark,4.93,6.56,1134.15,2156.43,69,58.21,19602.97,12,317,209.49
Sand Tiger Shark,3.05,3.49,163.42,273.97,14,24.64,2850.99,9,181,53.51
Great White Shark,4.15,6.01,1052.9,2326.74,64,60.85,18998.51,13,292,204.68
Sand Tiger Shark,3.22,2.89,164.49,285.28,15,22.58,3205.35,9,200,51.28
Great White Shark,4.12,6.81,1166.2,2363.42,70,60.33,18063.47,13,294,201.21
Sand Tiger Shark,3.22,3.14,172.54,299.74,14,22.35,2978.9,8,214,46.5
Great White Shark,4.06,5.88,1143.24,2395.77,64,50.47,19033.91,12,280,207.65
Sand Tiger Shark,2.8,3.15,164.97,290.46,14,22.58,3128.42,9,189,54.37
Great White Shark,4.65,6.15,1072.52,2330.18,71,61.23,16847.09,12,329,209.15
Sand Tiger Shark,3.1,2.91,161.03,319.5,13,25.18,3163.87,9,214,50.53
Great White Shark,4.17,6.14,1205.57,2327.24,63,59.22,18805.67,13,293,218.27
Sand Tiger Shark,2.75,3.35,164.42,290.81,13,24.81,2756.87,8,217,51.35
Great White Shark,4.46,6.32,1064.09,2328.03,67,51.64,16771.17,12,305,189.97
Sand Tiger Shark,2.81,3.5,162.52,327.66,16,23.52,3254.18,8,195,45.74
Great White Shark,4.15,6.8,1135.09,2080.21,71,60.77,17016.17,13,314,204.18
Sand Tiger Shark,3.01,3.14,152.19,309.75,13,23.05,2974.84,9,201,47.48
Great White Shark,4.76,6.31,1101.22,2135.41,77,52.14,19528.29,10,318,196.57
Sand Tiger Shark,2.88,3.25,164.3,271.92,14,25.61,2775.27,9,208,48.24
Great White Shark,4.29,6.3,1165.4,2184.26,63,56.0,18555.25,11,270,194.36
Sand Tiger Shark,3.14,2.97,173.44,324.61,16,22.82,2769.56,8,190,52.32
Great White Shark,4.71,6.6,1154.9,2262.13,74,53.33,17836.66,10,272,195.1
Sand Tiger Shark,3.07,3.25,154.96,307.67,14,25.85,3002.19,9,193,52.98
Great White Shark,4.89,5.94,1066.87,1990.74,71,58.86,16924.8,12,292,191.19
Sand Tiger Shark,2.85,3.13,145.18,280.73,16,23.64,2804.15,8,188,49.8
Great White Shark,4.77,6.99,992.28,2287.33,75,51.23,16872.5,11,275,198.45
Sand Tiger Shark,3.12,3.44,154.41,284.21,16,21.67,3280.07,9,192,51.36
Great White Shark,4.58,6.07,1151.34,2306.45,66,50.53,17966.37,13,280,205.77
Sand Tiger Shark,3.04,3.29,148.39,298.0,16,25.86,3184.05,8,198,51.65
Great White Shark,4.35,5.97,1163.52,2000.58,71,55.67,17861.75,13,272,209.08
Sand Tiger Shark,2.99,2.93,153.9,329.21,16,23.49,2867.84,8,203,54.38
Great White Shark,4.43,6.74,1136.17,2067.28,72,55.49,19721.9,11,284,188.96
Sand Tiger Shark,2.85,3.37,170.1,272.51,14,23.87,2752.62,8,188,46.36
Great White Shark,4.66,6.96,1103.83,2306.13,64,59.68,16802.78,11,286,194.52
Sand Tiger Shark,2.97,3.27,175.51,307.27,13,22.22,3126.56,8,189,45.18
Great White Shark,4.3,6.55,1004.06,2127.05,75,55.25,16573.34,11,278,204.68
Sand Tiger Shark,2.94,2.99,145.29,288.93,14,24.67,2889.36,9,187,45.73
Great White Shark,4.55,6.13,996.97,2339.6,77,52.67,17466.9,10,292,206.74
Sand Tiger Shark,3.15,3.48,164.43,325.86,13,23.7,3196.79,9,197,53.77
Great White Shark,4.17,6.31,997.67,2086.39,68,56.95,16397.25,10,285,185.81
Sand Tiger Shark,2.76,3.14,145.17,314.75,13,22.42,3054.11,9,195,54.19
Great White Shark,4.34,6.25,1152.32,2373.64,66,51.08,18066.66,10,325,210.37
Sand Tiger Shark,3.26,3.52,147.19,309.31,15,26.37,2709.78,9,209,52.59
Great White Shark,4.74,5.81,1155.85,2382.28,69,50.6,17280.83,13,281,207.27
Sand Tiger Shark,3.11,3.06,157.76,270.61,16,22.19,2813.32,9,204,46.14
Great White Shark,4.48,6.28,1028.72,2081.4,63,58.86,19132.24,10,327,212.33
Sand Tiger Shark,2.76,3.45,168.07,300.68,16,24.88,3279.45,9,193,48.18
Great White Shark,4.2,5.85,1136.97,2361.28,66,54.83,19224.23,10,321,210.97
Sand Tiger Shark,2.91,3.01,162.29,283.73,14,22.7,2817.56,9,206,49.35
Great White Shark,4.59,6.12,1191.22,2213.1,71,56.33,19555.84,13,317,196.49
Sand Tiger Shark,3.01,3.27,150.87,277.34,14,24.32,3169.11,9,185,45.5
Great White Shark,4.68,6.32,1014.83,2419.77,66,60.04,18613.56,10,304,180.1
Sand Tiger Shark,2.87,3.0,161.99,324.13,15,26.05,3176.6,8,189,45.52
Great White Shark,4.46,6.87,1040.56,2035.27,64,57.3,16253.91,13,328,199.77
Sand Tiger Shark,2.76,3.14,151.55,293.17,13,24.46,3014.48,8,202,53.68
Great White Shark,4.47,6.09,1007.85,2369.22,68,53.88,17803.19,11,300,212.03
Sand Tiger Shark,3.26,3.04,175.83,286.16,13,22.61,3208.47,8,210,49.75
Great White Shark,4.48,6.05,990.76,2232.24,73,58.71,18968.72,10,319,212.86
Sand Tiger Shark,2.8,3.32,168.49,312.1,14,22.42,2884.51,9,203,50.75
Great White Shark,4.78,7.03,1029.36,2002.89,77,57.45,16294.64,11,271,207.72
Sand Tiger Shark,3.26,3.35,168.29,284.9,13,24.71,2702.88,9,185,50.46
Great White Shark,4.49,6.84,1110.39,2035.32,74,59.2,16695.57,13,311,219.21
Sand Tiger Shark,3.12,3.43,173.95,313.5,13,22.15,2836.84,8,182,53.43
Great White Shark,4.39,6.5,1204.5,2319.77,73,57.86,18179.71,13,286,194.21
Sand Tiger Shark,3.1,3.42,166.67,320.05,15,25.21,2703.13,9,192,49.2
Great White Shark,4.58,5.94,1018.09,2079.58,66,50.67,16611.74,13,330,202.19
Sand Tiger Shark,3.12,3.42,171.76,292.87,16,24.1,2876.88,8,187,52.62
Great White Shark,4.95,6.01,1010.24,2354.8,72,59.83,19162.03,12,319,206.56
Sand Tiger Shark,3.25,3.31,164.53,284.23,13,23.56,3235.36,9,204,54.96
Great White Shark,4.59,6.51,1005.06,2106.55,71,54.61,17152.67,13,296,188.63
Sand Tiger Shark,3.24,3.34,170.73,329.55,13,22.42,3141.87,9,199,54.61
Great White Shark,4.2,6.72,1017.23,2113.03,72,60.7,19003.92,13,307,217.82
Sand Tiger Shark,3.07,3.07,161.54,293.9,16,25.39,3050.35,9,191,46.84
Great White Shark,4.66,6.0,1062.28,2416.35,75,51.08,19237.17,13,314,194.98
Sand Tiger Shark,2.82,3.01,146.17,275.85,14,22.64,2881.87,8,214,51.35
Great White Shark,4.3,7.03,1172.75,2165.52,64,57.71,19715.29,11,329,195.43
Sand Tiger Shark,2.76,3.1,144.38,285.3,16,23.4,3278.95,9,208,46.35
Great White Shark,4.91,5.91,1043.36,2075.53,65,52.87,18364.4,11,302,197.34
Sand Tiger Shark,3.23,3.2,158.49,310.88,14,25.61,2823.48,8,217,47.53
Great White Shark,4.4,5.95,1000.8,2319.73,67,54.45,19324.39,10,324,196.56
Sand Tiger Shark,3.24,3.28,162.37,327.72,14,24.49,2972.08,8,192,45.66
Great White Shark,4.09,6.48,1050.84,2123.17,75,55.63,18534.42,12,289,185.87
Sand Tiger Shark,3.23,3.31,152.34,276.34,16,24.55,3176.14,8,214,47.05
Great White Shark,4.14,5.83,1016.34,2098.06,76,56.97,17825.65,11,274,187.65
Sand Tiger Shark,2.9,2.93,165.27,296.74,15,26.3,2910.74,8,209,46.11
Great White Shark,4.27,6.89,1161.69,2288.8,74,52.66,18417.99,10,315,181.19
Sand Tiger Shark,3.3,3.5,165.09,284.77,15,26.29,2827.9,9,217,46.62
Great White Shark,4.29,6.77,1118.48,2297.07,74,54.92,17645.19,11,300,186.46
Sand Tiger Shark,2.81,3.0,166.51,319.72,14,24.19,2751.89,8,190,54.88
Great White Shark,4.63,6.1,1024.48,2312.31,64,56.16,16701.82,10,297,182.54
Sand Tiger Shark,3.24,3.51,157.2,309.85,14,24.59,2745.94,8,215,48.77
Great White Shark,4.33,6.72,1144.68,2415.03,65,50.79,18569.36,11,298,183.7
Sand Tiger Shark,2.98,3.31,174.33,274.4,13,24.94,2785.96,8,195,50.77
Great White Shark,4.23,6.07,1160.85,2062.05,77,52.87,18765.47,12,324,180.09
Sand Tiger Shark,3.09,3.26,161.99,308.86,14,22.64,3060.64,9,185,47.96
Great White Shark,4.84,6.39,1062.67,2205.0,66,52.06,17702.46,11,272,184.43
Sand Tiger Shark,3.29,3.28,149.09,289.01,16,22.15,2835.95,8,189,53.22
Great White Shark,4.78,6.65,1192.98,2401.62,77,55.43,18370.59,13,322,216.34
Sand Tiger Shark,2.88,3.42,164.27,328.08,14,22.28,2928.97,8,200,49.87
Great White Shark,4.07,6.9,1166.11,2373.95,66,53.92,18679.11,12,317,204.6
Sand Tiger Shark,3.06,3.43,155.32,317.86,14,22.88,3190.36,9,202,45.84
Great White Shark,4.75,6.97,1062.88,2311.38,74,59.1,17532.49,13,295,192.18
Sand Tiger Shark,3.07,3.33,157.09,286.58,16,25.34,2859.16,8,190,54.24
Great White Shark,4.5,6.06,1167.54,2173.79,67,53.05,16424.45,11,320,213.35
Sand Tiger Shark,2.75,2.88,153.98,296.8,13,24.19,2700.64,8,217,52.81
Great White Shark,4.47,5.85,1036.01,2056.05,70,53.09,17345.22,11,313,180.7
Sand Tiger Shark,3.01,3.43,169.34,295.97,14,21.69,3208.39,9,190,55.0
Great White Shark,4.17,6.57,1058.82,2053.75,65,55.99,17114.0,11,271,216.32
Sand Tiger Shark,2.83,3.04,172.65,306.69,15,25.35,3023.42,8,212,46.05
Great White Shark,4.25,5.78,1015.32,2232.66,77,54.51,18489.36,11,277,203.94
Sand Tiger Shark,3.23,3.12,160.27,320.66,14,23.46,2897.91,9,190,48.6
Great White Shark,4.93,6.65,1106.11,2064.15,67,57.62,18222.65,11,314,182.76
Sand Tiger Shark,3.03,3.15,175.27,324.54,15,25.88,2749.68,9,218,53.08
Great White Shark,4.32,6.53,1083.81,2106.15,68,59.93,18050.14,12,295,212.58
Sand Tiger Shark,3.03,2.88,160.75,322.55,13,22.09,2937.47,9,183,49.74
Great White Shark,4.12,6.46,1139.07,2016.21,68,53.9,17667.58,10,295,209.78
Sand Tiger Shark,3.06,3.09,175.83,304.82,13,22.87,3162.52,9,194,50.31
Great White Shark,4.27,6.31,999.32,2048.58,64,54.07,19351.63,12,299,185.89
Sand Tiger Shark,2.78,3.1,153.95,282.32,16,24.02,3270.63,8,206,50.3
Great White Shark,4.42,5.97,1175.08,2358.95,66,61.51,19446.08,12,276,182.14
